Complexity metrics,星期日, 29 十一月 2015 12:47:30 CST
Method,eV(g),iV(g),V'(g),V(g)
"org.broadleafcommerce.admin.server.service.handler.ISOCountryPersistenceHandler.fetch(PersistencePackage,CriteriaTransferObject,DynamicEntityDao,RecordHelper)",3,3,3,3
"org.broadleafcommerce.admin.server.service.handler.ProductCustomPersistenceHandler.add(PersistencePackage,DynamicEntityDao,RecordHelper)",1,5,5,5
"org.broadleafcommerce.admin.server.service.handler.ProductCustomPersistenceHandler.canHandleAdd(PersistencePackage)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.ProductCustomPersistenceHandler.canHandleFetch(PersistencePackage)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.ProductCustomPersistenceHandler.canHandleInspect(PersistencePackage)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.ProductCustomPersistenceHandler.canHandleRemove(PersistencePackage)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.ProductCustomPersistenceHandler.canHandleUpdate(PersistencePackage)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.ProductCustomPersistenceHandler.fetch(PersistencePackage,CriteriaTransferObject,DynamicEntityDao,RecordHelper)",2,2,2,2
"org.broadleafcommerce.admin.server.service.handler.ProductCustomPersistenceHandler.getCurrentDefaultXref(Product)",4,3,4,4
"org.broadleafcommerce.admin.server.service.handler.ProductCustomPersistenceHandler.getExistingDefaultCategory(Product)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.ProductCustomPersistenceHandler.inspect(PersistencePackage,DynamicEntityDao,InspectHelper)",1,2,2,2
"org.broadleafcommerce.admin.server.service.handler.ProductCustomPersistenceHandler.isDefaultCategoryLegacyMode()",2,2,2,2
"org.broadleafcommerce.admin.server.service.handler.ProductCustomPersistenceHandler.remove(PersistencePackage,DynamicEntityDao,RecordHelper)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.ProductCustomPersistenceHandler.removeBundleFieldRestrictions(ProductBundle,Map<String, FieldMetadata>,Entity)",1,3,3,3
"org.broadleafcommerce.admin.server.service.handler.ProductCustomPersistenceHandler.removeOldDefault(Product,CategoryProductXref,Entity)",1,4,6,4
"org.broadleafcommerce.admin.server.service.handler.ProductCustomPersistenceHandler.setupXref(Product)",1,3,4,3
"org.broadleafcommerce.admin.server.service.handler.ProductCustomPersistenceHandler.update(PersistencePackage,DynamicEntityDao,RecordHelper)",1,5,6,5
"org.broadleafcommerce.admin.server.service.handler.SkuBundleItemCustomPersistenceHandler.canHandle(PersistencePackage)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.SkuBundleItemCustomPersistenceHandler.canHandleFetch(PersistencePackage)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.SkuBundleItemCustomPersistenceHandler.canHandleInspect(PersistencePackage)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.SkuBundleItemCustomPersistenceHandler.fetch(PersistencePackage,CriteriaTransferObject,DynamicEntityDao,RecordHelper)",1,2,2,2
"org.broadleafcommerce.admin.server.service.handler.SkuBundleItemCustomPersistenceHandler.inspect(PersistencePackage,DynamicEntityDao,InspectHelper)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler.add(PersistencePackage,DynamicEntityDao,RecordHelper)",2,3,3,3
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler.applyAdditionalFetchCriteria(List<FilterMapping>,CriteriaTransferObject,PersistencePackage)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler.applyProductOptionValueCriteria(List<FilterMapping>,CriteriaTransferObject,PersistencePackage,String)",3,8,8,8
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler.associateProductOptionValuesToSku(Entity,Sku,DynamicEntityDao)",1,4,4,4
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler.canHandle(PersistencePackage,OperationType)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler.canHandleAdd(PersistencePackage)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler.canHandleFetch(PersistencePackage)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler.canHandleInspect(PersistencePackage)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler.canHandleUpdate(PersistencePackage)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler.createConsolidatedOptionField(Class<?>)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler.createIndividualOptionField(ProductOption,int)",2,3,3,3
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler.fetch(PersistencePackage,CriteriaTransferObject,DynamicEntityDao,RecordHelper)",1,4,4,4
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler.filterOutProductMetadata(Map<String, FieldMetadata>)",1,4,5,4
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler.getBlankConsolidatedOptionProperty()",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler.getConsolidatedOptionProperty(Collection<ProductOptionValue>)",2,2,2,2
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler.getPolymorphicClasses(Class<?>)",1,2,2,2
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler.getProductOptionProperties(Entity)",1,3,3,3
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler.inspect(PersistencePackage,DynamicEntityDao,InspectHelper)",1,11,13,11
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler.update(PersistencePackage,DynamicEntityDao,RecordHelper)",2,3,3,3
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler.useCache()",4,3,4,4
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler.validateUniqueProductOptionValueCombination(Product,List<Property>,Sku)",7,8,11,10
"org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandlerExtensionManager.SkuCustomPersistenceHandlerExtensionManager()",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.SkuRestrictionFactoryImpl.buildCompositePredicate(CriteriaBuilder,Path,Path,Predicate,Predicate)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.SkuRestrictionFactoryImpl.getDelegate()",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.SkuRestrictionFactoryImpl.getRestriction(String,String)",9,13,15,13
"org.broadleafcommerce.admin.server.service.handler.SkuRestrictionFactoryImpl.getSkuPropertyPrefix()",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.SkuRestrictionFactoryImpl.setDelegate(RestrictionFactory)",1,1,1,1
"org.broadleafcommerce.admin.server.service.handler.SkuRestrictionFactoryImpl.setSkuPropertyPrefix(String)",1,1,3,2
"org.broadleafcommerce.admin.server.service.persistence.module.provider.CategoryParentCategoryFieldPersistenceProvider.canHandleExtraction(ExtractValueRequest,Property)",1,1,1,1
"org.broadleafcommerce.admin.server.service.persistence.module.provider.CategoryParentCategoryFieldPersistenceProvider.canHandlePersistence(PopulateValueRequest,Serializable)",1,1,1,1
"org.broadleafcommerce.admin.server.service.persistence.module.provider.CategoryParentCategoryFieldPersistenceProvider.checkDirtyState(Category,Long)",1,3,7,3
"org.broadleafcommerce.admin.server.service.persistence.module.provider.CategoryParentCategoryFieldPersistenceProvider.extractValue(ExtractValueRequest,Property)",2,2,3,3
"org.broadleafcommerce.admin.server.service.persistence.module.provider.CategoryParentCategoryFieldPersistenceProvider.getDefaultCategory(Category)",4,4,4,4
"org.broadleafcommerce.admin.server.service.persistence.module.provider.CategoryParentCategoryFieldPersistenceProvider.getOrder()",1,1,1,1
"org.broadleafcommerce.admin.server.service.persistence.module.provider.CategoryParentCategoryFieldPersistenceProvider.populateValue(PopulateValueRequest,Serializable)",2,6,7,7
"org.broadleafcommerce.admin.server.service.persistence.module.provider.ForeignSkuFieldPersistenceProvider.canHandleExtraction(ExtractValueRequest,Property)",1,2,4,2
"org.broadleafcommerce.admin.server.service.persistence.module.provider.ForeignSkuFieldPersistenceProvider.extractValue(ExtractValueRequest,Property)",2,2,3,3
"org.broadleafcommerce.admin.server.service.persistence.module.provider.ProductParentCategoryFieldPersistenceProvider.canHandleExtraction(ExtractValueRequest,Property)",1,1,1,1
"org.broadleafcommerce.admin.server.service.persistence.module.provider.ProductParentCategoryFieldPersistenceProvider.canHandlePersistence(PopulateValueRequest,Serializable)",1,1,1,1
"org.broadleafcommerce.admin.server.service.persistence.module.provider.ProductParentCategoryFieldPersistenceProvider.checkDirtyState(Product,Long)",1,3,7,3
"org.broadleafcommerce.admin.server.service.persistence.module.provider.ProductParentCategoryFieldPersistenceProvider.extractValue(ExtractValueRequest,Property)",2,2,3,3
"org.broadleafcommerce.admin.server.service.persistence.module.provider.ProductParentCategoryFieldPersistenceProvider.getDefaultCategory(Product)",4,4,4,4
"org.broadleafcommerce.admin.server.service.persistence.module.provider.ProductParentCategoryFieldPersistenceProvider.getOrder()",1,1,1,1
"org.broadleafcommerce.admin.server.service.persistence.module.provider.ProductParentCategoryFieldPersistenceProvider.populateValue(PopulateValueRequest,Serializable)",2,6,7,7
"org.broadleafcommerce.admin.server.service.persistence.module.provider.SkuFieldsPersistenceProvider.canHandleExtraction(ExtractValueRequest,Property)",1,1,3,1
"org.broadleafcommerce.admin.server.service.persistence.module.provider.SkuFieldsPersistenceProvider.extractValue(ExtractValueRequest,Property)",2,2,3,3
"org.broadleafcommerce.admin.server.service.persistence.module.provider.SkuFieldsPersistenceProvider.getOrder()",1,1,1,1
"org.broadleafcommerce.admin.server.service.persistence.module.provider.SkuPricingPersistenceProvider.canHandleExtraction(ExtractValueRequest,Property)",1,1,2,1
"org.broadleafcommerce.admin.server.service.persistence.module.provider.SkuPricingPersistenceProvider.extractValue(ExtractValueRequest,Property)",2,2,3,3
"org.broadleafcommerce.admin.server.service.persistence.module.provider.SkuPricingPersistenceProvider.formatDisplayValue(Object,ExtractValueRequest,Property)",2,1,2,2
"org.broadleafcommerce.admin.server.service.persistence.module.provider.SkuPricingPersistenceProvider.formatValue(Object,ExtractValueRequest,Property)",2,1,2,2
"org.broadleafcommerce.admin.server.service.persistence.module.provider.SkuPricingPersistenceProvider.getCurrency(ExtractValueRequest,Property)",2,4,5,4
"org.broadleafcommerce.admin.server.service.persistence.module.provider.SkuPricingPersistenceProvider.getLocale(ExtractValueRequest,Property)",1,1,1,1
"org.broadleafcommerce.admin.server.service.persistence.module.provider.SkuPricingPersistenceProvider.getOrder()",1,1,1,1
"org.broadleafcommerce.admin.server.service.persistence.module.provider.SkuPricingPersistenceProvider.isDefaultSkuProperty(ExtractValueRequest,Property)",1,1,1,1
"org.broadleafcommerce.admin.server.service.persistence.module.provider.extension.CategoryParentCategoryFieldPersistenceProviderExtensionManager.CategoryParentCategoryFieldPersistenceProviderExtensionManager()",1,1,1,1
"org.broadleafcommerce.admin.server.service.persistence.module.provider.extension.ProductParentCategoryFieldPersistenceProviderExtensionManager.ProductParentCategoryFieldPersistenceProviderExtensionManager()",1,1,1,1
"org.broadleafcommerce.admin.server.service.persistence.validation.TargetItemRulesValidator.validate(Entity,Serializable,Map<String, FieldMetadata>,Map<String, String>,BasicFieldMetadata,String,String)",2,2,2,2
"org.broadleafcommerce.admin.web.controller.AdminProductTranslationExtensionHandler.applyTransformation(TranslationForm)",1,2,3,2
"org.broadleafcommerce.admin.web.controller.AdminProductTranslationExtensionHandler.init()",1,2,2,2
"org.broadleafcommerce.admin.web.controller.action.AdminCatalogActionsController.generateSkus(HttpServletRequest,HttpServletResponse,Model,Long,String)",1,3,3,3
"org.broadleafcommerce.admin.web.controller.entity.AdminCategoryController.entityListWithTreeView(Model)",1,1,1,1
"org.broadleafcommerce.admin.web.controller.entity.AdminCategoryController.getSectionCustomCriteria()",1,1,1,1
"org.broadleafcommerce.admin.web.controller.entity.AdminCategoryController.getSectionKey(Map<String, String>)",2,2,2,2
"org.broadleafcommerce.admin.web.controller.entity.AdminCategoryController.getTreeViewEnabled()",1,1,1,1
"org.broadleafcommerce.admin.web.controller.entity.AdminCategoryController.modifyAddEntityForm(EntityForm,Map<String, String>)",1,1,1,1
"org.broadleafcommerce.admin.web.controller.entity.AdminCategoryController.modifyEntityForm(EntityForm,Map<String, String>)",1,1,1,1
"org.broadleafcommerce.admin.web.controller.entity.AdminCategoryController.viewEntityList(HttpServletRequest,HttpServletResponse,Model,Map<String, String>,MultiValueMap<String, String>)",2,2,2,2
"org.broadleafcommerce.admin.web.controller.entity.AdminOfferController.addEntity(HttpServletRequest,HttpServletResponse,Model,Map<String, String>,EntityForm,BindingResult)",1,2,2,2
"org.broadleafcommerce.admin.web.controller.entity.AdminOfferController.getSectionKey(Map<String, String>)",2,2,2,2
"org.broadleafcommerce.admin.web.controller.entity.AdminOfferController.modifyModelAttributes(Model)",1,1,1,1
"org.broadleafcommerce.admin.web.controller.entity.AdminOfferController.viewAddEntityForm(HttpServletRequest,HttpServletResponse,Model,Map<String, String>,String)",1,1,1,1
"org.broadleafcommerce.admin.web.controller.entity.AdminOfferController.viewEntityForm(HttpServletRequest,HttpServletResponse,Model,Map<String, String>,String)",1,1,1,1
"org.broadleafcommerce.admin.web.controller.entity.AdminOrderController.getSectionKey(Map<String, String>)",2,2,2,2
"org.broadleafcommerce.admin.web.controller.entity.AdminOrderController.showViewUpdateCollection(HttpServletRequest,Model,Map<String, String>,String,String,String,String)",1,4,6,4
"org.broadleafcommerce.admin.web.controller.entity.AdminProductController.buildAddCollectionItemModel(HttpServletRequest,HttpServletResponse,Model,String,String,String,Property,FieldMetadata,PersistencePackageRequest,EntityForm,Entity)",1,2,3,2
"org.broadleafcommerce.admin.web.controller.entity.AdminProductController.getSectionCustomCriteria()",1,1,1,1
"org.broadleafcommerce.admin.web.controller.entity.AdminProductController.getSectionKey(Map<String, String>)",2,2,2,2
"org.broadleafcommerce.admin.web.controller.entity.AdminProductController.modifyAddEntityForm(EntityForm,Map<String, String>)",1,3,3,3
"org.broadleafcommerce.admin.web.controller.entity.AdminProductController.modifyEntityForm(EntityForm,Map<String, String>)",1,1,1,1
"org.broadleafcommerce.admin.web.controller.entity.AdminProductController.showAddAdditionalSku(HttpServletRequest,HttpServletResponse,Model,String,Map<String, String>)",2,6,7,6
"org.broadleafcommerce.admin.web.controller.entity.AdminProductController.showAddCollectionItem(HttpServletRequest,HttpServletResponse,Model,Map<String, String>,String,String,MultiValueMap<String, String>)",2,2,2,2
"org.broadleafcommerce.admin.web.controller.entity.AdminProductController.showUpdateAdditionalSku(HttpServletRequest,Model,String,String,Map<String, String>,EntityForm)",1,4,4,4
"org.broadleafcommerce.admin.web.controller.entity.AdminProductController.showUpdateCollectionItem(HttpServletRequest,HttpServletResponse,Model,Map<String, String>,String,String,String)",2,2,2,2
"org.broadleafcommerce.admin.web.controller.entity.AdminProductController.showViewUpdateCollection(HttpServletRequest,Model,Map<String, String>,String,String,String,String,String,EntityForm,Entity)",2,2,2,2
"org.broadleafcommerce.admin.web.controller.entity.AdminProductController.viewEntityForm(HttpServletRequest,HttpServletResponse,Model,Map<String, String>,String)",1,3,3,3
"org.broadleafcommerce.admin.web.rulebuilder.DataDTOToMVELTranslatorTest.setUp()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.DataDTOToMVELTranslatorTest.testCreateMVEL()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.DataDTOToMVELTranslatorTest.testCustomerQualificationMVEL()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.DataDTOToMVELTranslatorTest.testFulfillmentQualificationMVEL()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.DataDTOToMVELTranslatorTest.testItemQualificationMVEL()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.DataDTOToMVELTranslatorTest.testOrderQualificationMVEL()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.MVELToDataWrapperTranslatorTest.setUp()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.MVELToDataWrapperTranslatorTest.testCreateRuleData()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.MVELToDataWrapperTranslatorTest.testCustomerQualificationDataWrapper()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.MVELToDataWrapperTranslatorTest.testFulfillmentGroupQualificationDataWrapper()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.MVELToDataWrapperTranslatorTest.testItemQualificationDataWrapper()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.MVELToDataWrapperTranslatorTest.testOrderQualificationDataWrapper()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.CategoryFieldServiceImpl.getDtoClassName()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.CategoryFieldServiceImpl.getName()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.CategoryFieldServiceImpl.init()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.CustomerFieldServiceImpl.getDtoClassName()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.CustomerFieldServiceImpl.getName()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.CustomerFieldServiceImpl.init()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.FulfillmentGroupFieldServiceImpl.getDtoClassName()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.FulfillmentGroupFieldServiceImpl.getName()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.FulfillmentGroupFieldServiceImpl.init()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.LocaleFieldServiceImpl.getDtoClassName()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.LocaleFieldServiceImpl.getName()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.LocaleFieldServiceImpl.init()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.OrderFieldServiceImpl.getDtoClassName()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.OrderFieldServiceImpl.getName()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.OrderFieldServiceImpl.init()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.OrderItemFieldServiceImpl.getDtoClassName()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.OrderItemFieldServiceImpl.getName()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.OrderItemFieldServiceImpl.init()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.ProductFieldServiceImpl.getDtoClassName()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.ProductFieldServiceImpl.getName()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.ProductFieldServiceImpl.init()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.RequestFieldServiceImpl.getDtoClassName()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.RequestFieldServiceImpl.getName()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.RequestFieldServiceImpl.init()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.SkuFieldServiceImpl.getDtoClassName()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.SkuFieldServiceImpl.getName()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.SkuFieldServiceImpl.init()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.TimeFieldServiceImpl.getDtoClassName()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.TimeFieldServiceImpl.getName()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.TimeFieldServiceImpl.init()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.options.FulfillmentTypeEnumOptionsExtensionListener.getValuesToGenerate()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.options.InventoryTypeEnumOptionsExtensionListener.getTypes(Class<? extends BroadleafEnumerationType>)",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.options.InventoryTypeEnumOptionsExtensionListener.getValuesToGenerate()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.options.TemplateTypeEnumOptionsExtensionListener.getValuesToGenerate()",1,1,1,1
"org.broadleafcommerce.admin.web.rulebuilder.service.options.TimeEnumOptionsExtensionListener.getValuesToGenerate()",1,1,1,1
"org.broadleafcommerce.cms.admin.server.handler.DynamicFieldPersistenceHandlerHelper.buildDynamicProperty(FieldDefinition,Class<?>)",1,5,6,5
"org.broadleafcommerce.cms.admin.server.handler.DynamicFieldPersistenceHandlerHelper.buildDynamicPropertyList(List<FieldGroup>,Class<?>)",6,8,12,8
"org.broadleafcommerce.cms.admin.server.handler.PageTemplateCustomPersistenceHandler.add(PersistencePackage,DynamicEntityDao,RecordHelper)",1,1,1,1
"org.broadleafcommerce.cms.admin.server.handler.PageTemplateCustomPersistenceHandler.addOrUpdate(PersistencePackage,DynamicEntityDao,RecordHelper)",3,15,19,15
"org.broadleafcommerce.cms.admin.server.handler.PageTemplateCustomPersistenceHandler.canHandleAdd(PersistencePackage)",1,1,1,1
"org.broadleafcommerce.cms.admin.server.handler.PageTemplateCustomPersistenceHandler.canHandleFetch(PersistencePackage)",1,1,1,1
"org.broadleafcommerce.cms.admin.server.handler.PageTemplateCustomPersistenceHandler.canHandleInspect(PersistencePackage)",1,1,1,1
"org.broadleafcommerce.cms.admin.server.handler.PageTemplateCustomPersistenceHandler.canHandleRemove(PersistencePackage)",1,1,1,1
"org.broadleafcommerce.cms.admin.server.handler.PageTemplateCustomPersistenceHandler.canHandleUpdate(PersistencePackage)",1,1,1,1
"org.broadleafcommerce.cms.admin.server.handler.PageTemplateCustomPersistenceHandler.fetch(PersistencePackage,CriteriaTransferObject,DynamicEntityDao,RecordHelper)",1,5,7,5
"org.broadleafcommerce.cms.admin.server.handler.PageTemplateCustomPersistenceHandler.fetchDynamicEntity(Serializable,List<String>,boolean)",1,8,9,8
"org.broadleafcommerce.cms.admin.server.handler.PageTemplateCustomPersistenceHandler.fetchEntityBasedOnId(String,List<String>)",1,1,1,1
"org.broadleafcommerce.cms.admin.server.handler.PageTemplateCustomPersistenceHandler.getFieldContainerClassName()",1,1,1,1
